overall_qual,gr_liv_area,second_flr_sf,total_bsmt_sf,garage_cars,date,price
5,1077,0,991,1,2024-04-09,118000
8,1795,0,1777,2,2024-04-09,230000
9,1561,0,1561,2,2024-04-09,277500
8,1656,0,1656,3,2024-04-09,249700
5,780,0,780,1,2024-04-09,124900
4,845,0,845,2,2024-04-09,129500
5,1065,0,1065,2,2024-04-09,126500
4,960,0,960,1,2024-04-09,94750
7,2696,1414,1264,3,2024-04-09,383970
6,1348,688,660,2,2024-04-09,155000
5,1385,475,910,2,2024-04-09,166000
7,1947,956,991,2,2024-04-09,254900
6,1651,0,1606,2,2024-04-09,184000
5,1656,704,660,1,2024-04-09,135000
8,1713,0,1713,3,2024-04-09,274900
5,990,0,990,2,2024-04-09,156000
7,2520,1306,1203,3,2024-04-09,290000
8,1694,0,1694,3,2024-04-09,318000
6,1640,842,798,2,2024-04-09,173000
6,1212,0,506,2,2024-04-09,151000
6,1632,0,1240,1,2024-04-09,139000
8,1468,0,1468,3,2024-04-09,244600
7,1950,975,975,2,2024-04-09,239000
9,1944,0,1896,3,2024-04-09,360000
8,2468,1332,1136,3,2024-04-09,354000
7,1358,0,1358,2,2024-04-09,207000
6,1577,605,972,1,2024-04-09,140200
8,1924,838,1086,2,2024-04-09,280000
5,914,0,870,2,2024-04-09,148000
7,1479,0,1468,2,2024-04-09,191000
8,1288,0,1260,2,2024-04-09,245500
5,1028,0,1008,2,2024-04-09,115000
6,1196,0,1196,1,2024-04-09,139000
6,904,0,884,1,2024-04-09,119000
3,1183,504,649,1,2024-04-09,120000
6,1660,811,715,1,2024-04-09,188700
6,1493,0,1478,2,2024-04-09,208900
5,1484,0,1484,2,2024-04-09,175000
6,1218,546,672,1,2024-04-09,113000
5,1363,0,1008,1,2024-04-09,164900
10,4676,1538,3138,3,2024-04-09,184750
9,1838,0,1838,3,2024-04-09,315000
8,1717,0,1709,3,2024-04-09,255500
9,2504,1370,1122,3,2024-04-09,325000
5,1320,0,1164,2,2024-04-09,164500
5,935,0,742,1,2024-04-09,79500
8,1904,846,1058,2,2024-04-09,275000
6,1054,0,936,2,2024-04-09,137500
6,1350,0,1248,2,2024-04-09,168500
5,1620,840,780,2,2024-04-09,152000
5,1053,0,1053,1,2024-04-09,145500
4,1180,0,700,1,2024-04-09,137500
5,1520,672,793,1,2024-04-09,159434
6,1137,0,1112,2,2024-04-09,176000
8,1324,0,1324,2,2024-04-09,254000
4,864,0,864,2,2024-04-09,124500
5,1144,0,864,1,2024-04-09,131400
7,2640,1320,1240,4,2024-04-09,265979
6,864,0,864,1,2024-04-09,127500
4,1220,0,836,2,2024-04-09,102000
6,1603,793,761,2,2024-04-09,175900
5,773,0,773,1,2024-04-09,110000
5,1576,504,1324,2,2024-04-09,223500
7,1640,842,798,2,2024-04-09,183000
6,1516,0,1516,2,2024-04-09,167000
7,1775,769,740,2,2024-04-09,213000
5,1039,0,1039,2,2024-04-09,131500
5,1268,0,832,1,2024-04-09,133000
9,1709,0,1698,2,2024-04-09,328900
4,951,0,951,1,2024-04-09,106500
6,1484,742,742,2,2024-04-09,174000
6,1316,0,1316,2,2024-04-09,169990
7,1971,858,1113,2,2024-04-09,253000
5,965,0,828,1,2024-04-09,119900
6,1484,701,783,2,2024-04-09,178900
5,1734,432,0,2,2024-04-09,126000
4,1230,456,747,1,2024-04-09,121600
5,1271,551,720,1,2024-04-09,135000
7,1504,0,1346,2,2024-04-09,191000
5,1803,0,1134,2,2024-04-09,155000
6,1977,850,816,2,2024-04-09,165000
7,2260,954,1306,2,2024-04-09,328000
7,1740,780,800,1,2024-04-09,219500
7,1709,739,970,2,2024-04-09,137500
2,438,0,290,1,2024-04-09,60000
5,816,0,816,1,2024-04-09,129900
7,1555,0,1373,3,2024-04-09,174000
5,1167,0,915,2,2024-04-09,144000
5,1437,0,1437,2,2024-04-09,218000
6,1671,712,959,2,2024-04-09,173000
8,1652,0,1600,2,2024-04-09,392500
5,1472,630,702,1,2024-04-09,125000
7,1630,0,1630,2,2024-04-09,213000
5,894,0,894,1,2024-04-09,125000
5,912,0,912,2,2024-04-09,147000
7,1768,884,884,2,2024-04-09,224900
6,1367,408,884,1,2024-04-09,127500
5,1524,650,874,1,2024-04-09,144000
8,1659,0,1501,2,2024-04-09,278000
5,1246,0,1246,1,2024-04-09,154000
9,2599,1177,1393,3,2024-04-09,333168
6,2792,1208,1510,2,2024-04-09,256000
5,864,0,864,1,2024-04-09,128500
8,3238,1185,2033,3,2024-04-09,410000
4,1374,534,840,1,2024-04-09,105000
7,1762,764,596,2,2024-04-09,157000
6,1912,691,482,2,2024-04-09,163000
3,1214,520,672,3,2024-04-09,105000
7,1569,0,1386,3,2024-04-09,175900
5,1838,1104,732,2,2024-04-09,192140
10,2007,981,1017,3,2024-04-09,310000
7,2340,1152,1152,1,2024-04-09,266500
